90x50mm;250 szt;Kreda 350g;Dwustronnie kolorowy;Brak folii;24;11;0.28;0.214375;0.0217525;5,438125;3,31;18;22,14;12,562
90x50mm;250 szt;Kreda 350g;Jednostronnie kolorowy;Dwustronna folia soft touch;24;11;0.18;0.214375;0.0525525;13,138125;3,31;43,487;53,489;30,349
90x50mm;1000 szt;Kreda 350g;Dwustronnie kolorowy;Dwustronna folia błyszcząca;24;43;0.28;0.214375;0.038458125;38,458125;1,8;69,225;85,146;30,767
90x50mm;1000 szt;Kreda 350g;Dwustronnie kolorowy;Brak folii;24;43;0.28;0.214375;0.021258125;21,258125;1,8;38,265;47,065;17,007
90x50mm;1000 szt;Kreda 350g;Jednostronnie kolorowy;Dwustronna folia soft touch;24;43;0.18;0.214375;0.051358125;51,358125;1,8;92,445;113,707;41,087
90x50mm;1000 szt;Kreda 350g;Jednostronnie kolorowy;Jednostronna folia Soft touch;24;43;0.18;0.214375;0.034158125;34,158125;1,8;61,485;75,626;27,327
90x50mm;1000 szt;Kreda 350g;Jednostronnie kolorowy;Dwustronna folia matowa;24;43;0.18;0.214375;0.034158125;34,158125;1,8;61,485;75,626;27,327
90x50mm;1000 szt;Kreda 350g;Jednostronnie kolorowy;Jednostronna folia matowa;24;43;0.18;0.214375;0.025558125;25,558125;1,8;46,005;56,586;20,447
90x50mm;1000 szt;Kreda 350g;Jednostronnie kolorowy;Jednostronna folia błyszcząca;24;43;0.18;0.214375;0.025558125;25,558125;1,8;46,005;56,586;20,447
90x50mm;1000 szt;Kreda 350g;Jednostronnie kolorowy;Dwustronna folia błyszcząca;24;43;0.18;0.214375;0.034158125;34,158125;1,8;61,485;75,626;27,327
90x50mm;1000 szt;Kreda 350g;Jednostronnie kolorowy;Brak folii;24;43;0.18;0.214375;0.016958125;16,958125;1,8;30,525;37,545;13,567
90x50mm;500 szt;Kreda 350g;Dwustronnie kolorowy;Dwustronna folia soft touch;24;22;0.28;0.214375;0.0569525;28,47625;2;56,953;70,052;28,477
90x50mm;500 szt;Kreda 350g;Dwustronnie kolorowy;Jednostronna folia Soft touch;24;22;0.28;0.214375;0.0393525;19,67625;2;39,353;48,404;19,677
90x50mm;500 szt;Kreda 350g;Dwustronnie kolorowy;Dwustronna folia matowa;24;22;0.28;0.214375;0.0393525;19,67625;2;39,353;48,404;19,677
90x50mm;500 szt;Kreda 350g;Dwustronnie kolorowy;Jednostronna folia matowa;24;22;0.28;0.214375;0.0305525;15,27625;2;30,553;37,58;15,277
90x50mm;500 szt;Kreda 350g;Dwustronnie kolorowy;Jednostronna folia błyszcząca;24;22;0.28;0.214375;0.0305525;15,27625;2;30,553;37,58;15,277
90x50mm;500 szt;Kreda 350g;Dwustronnie kolorowy;Dwustronna folia błyszcząca;24;22;0.28;0.214375;0.0393525;19,67625;2;39,353;48,404;19,677
90x50mm;500 szt;Kreda 350g;Dwustronnie kolorowy;Brak folii;24;22;0.28;0.214375;0.0217525;10,87625;2;21,753;26,756;10,877
85x55mm;100 szt;Kreda 350g;Dwustronnie kolorowy;Jednostronna folia Soft touch;24;5;0.28;0.214375;0.04471875;4,471875;4,62;20,66;25,412;16,188
85x55mm;100 szt;Kreda 350g;Dwustronnie kolorowy;Dwustronna folia matowa;24;5;0.28;0.214375;0.04471875;4,471875;4,62;20,66;25,412;16,188
85x55mm;100 szt;Kreda 350g;Dwustronnie kolorowy;Jednostronna folia matowa;24;5;0.28;0.214375;0.03471875;3,471875;4,62;16,04;19,729;12,568
85x55mm;100 szt;Kreda 350g;Dwustronnie kolorowy;Jednostronna folia błyszcząca;24;5;0.28;0.214375;0.03471875;3,471875;4,62;16,04;19,729;12,568
85x55mm;100 szt;Kreda 350g;Dwustronnie kolorowy;Dwustronna folia błyszcząca;24;5;0.28;0.214375;0.04471875;4,471875;4,62;20,66;25,412;16,188
85x55mm;100 szt;Kreda 350g;Dwustronnie kolorowy;Brak folii;24;5;0.28;0.214375;0.02471875;2,471875;4,62;11,42;14,047;8,948
85x55mm;100 szt;Kreda 350g;Jednostronnie kolorowy;Dwustronna folia soft touch;24;5;0.18;0.214375;0.05971875;5,971875;4,62;27,59;33,936;21,618
