99x210mm;Kreda 150g;Jednostronnie kolorowy;100 szt;;6;18;0.18;0.091875;0.0489375;4,89375;6;29,363;36,116;24,469
99x210mm;Kreda 150g;Jednostronnie kolorowy;100 szt;;6;18;0.18;0.091875;0.0489375;4,89375;6;29,363;36,116;24,469
99x210mm;Kreda 150g;Jednostronnie kolorowy;500 szt;;6;84;0.18;0.091875;0.045675;22,8375;3,5;79,931;98,315;57,093
99x210mm;Kreda 150g;Jednostronnie kolorowy;500 szt;;6;84;0.18;0.091875;0.045675;22,8375;3,5;79,931;98,315;57,093
99x210mm;Kreda 150g;Jednostronnie kolorowy;250 szt;;6;43;0.18;0.091875;0.0467625;11,690625;4,5;52,608;64,708;40,917
99x210mm;Kreda 150g;Jednostronnie kolorowy;250 szt;;6;43;0.18;0.091875;0.0467625;11,690625;4,5;52,608;64,708;40,917
99x210mm;Kreda 150g;Jednostronnie kolorowy;2500 szt;;6;418;0.18;0.091875;0.0454575;113,64375;1,29;146,6;180,319;32,956
99x210mm;Kreda 150g;Jednostronnie kolorowy;1000 szt;;6;168;0.18;0.091875;0.045675;45,675;2,6;118,755;146,069;73,08
99x210mm;Kreda 150g;Jednostronnie kolorowy;1000 szt;;6;168;0.18;0.091875;0.045675;45,675;2,6;118,755;146,069;73,08
99x210mm;Kreda 150g;Dwustronnie kolorowy;250 szt;;6;43;0.28;0.091875;0.0639625;15,990625;4,5;71,958;88,508;55,967
99x210mm;Kreda 150g;Dwustronnie kolorowy;100 szt;;6;18;0.28;0.091875;0.0669375;6,69375;6;40,163;49,4;33,469
99x210mm;Kreda 150g;Dwustronnie kolorowy;100 szt;;6;18;0.28;0.091875;0.0669375;6,69375;6;40,163;49,4;33,469
99x210mm;Kreda 150g;Jednostronnie kolorowy;2500 szt;;6;418;0.18;0.091875;0.0454575;113,64375;1,29;146,6;180,319;32,956
99x210mm;Kreda 150g;Dwustronnie kolorowy;500 szt;;6;84;0.28;0.091875;0.062475;31,2375;3,5;109,331;134,477;78,093
99x210mm;Kreda 150g;Dwustronnie kolorowy;500 szt;;6;84;0.28;0.091875;0.062475;31,2375;3,5;109,331;134,477;78,093
99x210mm;Kreda 150g;Dwustronnie kolorowy;250 szt;;6;43;0.28;0.091875;0.0639625;15,990625;4,5;71,958;88,508;55,967
99x210mm;Kreda 150g;Dwustronnie kolorowy;2500 szt;;6;418;0.28;0.091875;0.0621775;155,44375;1,29;200,522;246,643;45,078
99x210mm;Kreda 150g;Dwustronnie kolorowy;1000 szt;;6;168;0.28;0.091875;0.062475;62,475;2,6;162,435;199,795;99,96
99x210mm;Kreda 150g;Dwustronnie kolorowy;1000 szt;;6;168;0.28;0.091875;0.062475;62,475;2,6;162,435;199,795;99,96
99x210mm;Kreda 115g;Jednostronnie kolorowy;100 szt;;6;18;0.18;0.0704375;0.04507875;4,507875;6;27,047;33,268;22,539
99x210mm;Kreda 115g;Jednostronnie kolorowy;100 szt;;6;18;0.18;0.0704375;0.04507875;4,507875;6;27,047;33,268;22,539
99x210mm;Kreda 150g;Dwustronnie kolorowy;2500 szt;;6;418;0.28;0.091875;0.0621775;155,44375;1,29;200,522;246,643;45,078
99x210mm;Kreda 115g;Jednostronnie kolorowy;500 szt;;6;84;0.18;0.0704375;0.0420735;21,03675;3,5;73,629;90,563;52,592
99x210mm;Kreda 115g;Jednostronnie kolorowy;500 szt;;6;84;0.18;0.0704375;0.0420735;21,03675;3,5;73,629;90,563;52,592
