90x50mm;1000 szt;Kreda 350g;Jednostronnie kolorowy;Jednostronna folia matowa;24;43;0.14;0.226625;0.022214875;22.214875
90x50mm;1000 szt;Kreda 350g;Jednostronnie kolorowy;Jednostronna folia błyszcząca;24;43;0.14;0.226625;0.022214875;22.214875
90x50mm;1000 szt;Kreda 350g;Jednostronnie kolorowy;Dwustronna folia błyszcząca;24;43;0.14;0.226625;0.028664875;28.664875
90x50mm;1000 szt;Kreda 350g;Jednostronnie kolorowy;Brak folii;24;43;0.14;0.226625;0.015764875;15.764875
90x50mm;500 szt;Kreda 350g;Dwustronnie kolorowy;Dwustronna folia soft touch;24;22;0.28;0.226625;0.0460515;23.02575
90x50mm;500 szt;Kreda 350g;Dwustronnie kolorowy;Jednostronna folia Soft touch;24;22;0.28;0.226625;0.0337315;16.86575
90x50mm;500 szt;Kreda 350g;Dwustronnie kolorowy;Dwustronna folia matowa;24;22;0.28;0.226625;0.0354915;17.74575
90x50mm;500 szt;Kreda 350g;Dwustronnie kolorowy;Jednostronna folia matowa;24;22;0.28;0.226625;0.0288915;14.44575
90x50mm;500 szt;Kreda 350g;Dwustronnie kolorowy;Jednostronna folia błyszcząca;24;22;0.28;0.226625;0.0288915;14.44575
90x50mm;500 szt;Kreda 350g;Dwustronnie kolorowy;Dwustronna folia błyszcząca;24;22;0.28;0.226625;0.0354915;17.74575
90x50mm;500 szt;Kreda 350g;Dwustronnie kolorowy;Brak folii;24;22;0.28;0.226625;0.0222915;11.14575
85x55mm;100 szt;Kreda 350g;Dwustronnie kolorowy;Jednostronna folia Soft touch;24;5;0.28;0.226625;0.03833125;3.833125
85x55mm;100 szt;Kreda 350g;Dwustronnie kolorowy;Dwustronna folia matowa;24;5;0.28;0.226625;0.04033125;4.033125
85x55mm;100 szt;Kreda 350g;Dwustronnie kolorowy;Jednostronna folia matowa;24;5;0.28;0.226625;0.03283125;3.283125
85x55mm;100 szt;Kreda 350g;Dwustronnie kolorowy;Jednostronna folia błyszcząca;24;5;0.28;0.226625;0.03283125;3.283125
85x55mm;100 szt;Kreda 350g;Dwustronnie kolorowy;Dwustronna folia błyszcząca;24;5;0.28;0.226625;0.04033125;4.033125
85x55mm;100 szt;Kreda 350g;Dwustronnie kolorowy;Brak folii;24;5;0.28;0.226625;0.02533125;2.533125
85x55mm;100 szt;Kreda 350g;Jednostronnie kolorowy;Dwustronna folia soft touch;24;5;0.14;0.226625;0.04533125;4.533125
85x55mm;100 szt;Kreda 350g;Jednostronnie kolorowy;Jednostronna folia Soft touch;24;5;0.14;0.226625;0.03133125;3.133125
85x55mm;100 szt;Kreda 350g;Jednostronnie kolorowy;Dwustronna folia matowa;24;5;0.14;0.226625;0.03333125;3.333125
85x55mm;100 szt;Kreda 350g;Jednostronnie kolorowy;Jednostronna folia matowa;24;5;0.14;0.226625;0.02583125;2.583125
